ANO,IBGE7,NOME,IDEB_AF,POP_TOT
2013,2101772,Bela Vista do Maranhão,3.4,10717
2013,2101806,Benedito Leite,4.2,5510
2013,2101905,Bequimão,3.6,20821
2013,2101939,Bernardo do Mearim,3.7,6176
2013,2101970,Boa Vista do Gurupi,3,8626
2013,2102002,Bom Jardim,3.3,40134
2013,2102036,Bom Jesus das Selvas,3,31320
2013,2102077,Bom Lugar,3.6,15604
2013,2102101,Brejo,3,34754
2013,2102150,Brejo de Areia,3.4,4591
2013,2102200,Buriti,3.4,27697
2013,2102309,Buriti Bravo,3.8,23238
2013,2102325,Buriticupu,3.5,68626
2013,2102358,Buritirana,3.2,15008
2013,2102374,Cachoeira Grande,3.2,8698
2013,2102408,Cajapió,2.8,10822
2013,2102507,Cajari,3.3,18751
2013,2102556,Campestre do Maranhão,3.5,13808
2013,2102606,Cândido Mendes,3.3,19426
2013,2102705,Cantanhede,2.6,21125
2013,2102754,Capinzal do Norte,3.3,10729
2013,2102804,Carolina,3.1,23939
2013,2102903,Carutapera,3.9,22811
2013,2103000,Caxias,3.5,159396
2013,2103109,Cedral,3.4,10414
2013,2103125,Central do Maranhão,3.1,8255
2013,2103158,Centro do Guilherme,3.2,12395
2013,2103174,Centro Novo do Maranhão,3.6,20382
2013,2103208,Chapadinha,3.3,76217
2013,2103257,Cidelândia,3.6,14125
2013,2103307,Codó,3,119641
2013,2103406,Coelho Neto,3.3,47821
2013,2103505,Colinas,3.1,39915
2013,2103554,Conceição do Lago-Açu,3.4,15313
2013,2103604,Coroatá,3.2,63154
2013,2103703,Cururupu,3.6,31149
2013,2103752,Davinópolis,3.1,12646
2013,2103802,Dom Pedro,3.7,22844
2013,2103901,Duque Bacelar,2.9,10942
2013,2104008,Esperantinópolis,3.3,17460
2013,2104057,Estreito,3.3,38932
2013,2104073,Feira Nova do Maranhão,3.4,8263
2013,2104081,Fernando Falcão,3,9783
2013,2104099,Formosa da Serra Negra,4.1,18087
2013,2104107,Fortaleza dos Nogueiras,,12343
2013,2104206,Fortuna,4.1,15212
2013,2104305,Godofredo Viana,3.4,11046
2013,2104404,Gonçalves Dias,3,17572
2013,2104503,Governador Archer,3.4,10466
2013,2104552,Governador Edison Lobão,3.3,17094
2013,2104602,Governador Eugênio Barros,3,16312
2013,2104628,Governador Luiz Rocha,3.7,7532
2013,2104651,Governador Newton Bello,3.3,10113
2013,2104677,Governador Nunes Freire,3.2,25262
2013,2104701,Graça Aranha,3.9,6151
2013,2104800,Grajaú,3.2,65078
2013,2104909,Guimarães,3.6,11939
2013,2105005,Humberto de Campos,2.9,27364
2013,2105104,Icatu,3.6,26014
2013,2105153,Igarapé do Meio,3.2,13347
2013,2105203,Igarapé Grande,3.6,11431
2013,2105302,Imperatriz,3.8,251468
2013,2105351,Itaipava do Grajaú,2.7,14084
2013,2105401,Itapecuru Mirim,3.2,64951
2013,2105427,Itinga do Maranhão,3.7,25269
2013,2105450,Jatobá,3.1,9360
2013,2105476,Jenipapo dos Vieiras,3.8,15899
2013,2105500,João Lisboa,3,23450
2013,2105609,Joselândia,2.8,15755
2013,2105658,Junco do Maranhão,3.8,3653
2013,2105708,Lago da Pedra,3.3,48002
2013,2105807,Lago do Junco,3.1,9873
2013,2105906,Lago Verde,,15742
2013,2105922,Lagoa do Mato,3.9,10989
2013,2105948,Lago dos Rodrigues,4,8775
2013,2105963,Lagoa Grande do Maranhão,3.1,12687
2013,2105989,Lajeado Novo,3.6,7211
2013,2106003,Lima Campos,3.1,11580
2013,2106102,Loreto,3.6,11714
2013,2106201,Luís Domingues,3,6697
2013,2106300,Magalhães de Almeida,3.9,18680
2013,2106326,Maracaçumé,2.7,20268
2013,2106359,Marajá do Sena,3.6,7721
2013,2106375,Maranhãozinho,4.1,15011
2013,2106409,Mata Roma,2.8,15951
2013,2106508,Matinha,,22515
2013,2106607,Matões,3.1,32545
2013,2106631,Matões do Norte,3.3,15322
2013,2106672,Milagres do Maranhão,3.1,8237
2013,2106706,Mirador,2.8,20576
2013,2106755,Miranda do Norte,3.8,26419
2013,2106805,Mirinzal,,14504
2013,2106904,Monção,,32180
2013,2107001,Montes Altos,3.8,9183
2013,2107100,Morros,,18544
2013,2107209,Nina Rodrigues,3.2,13465
2013,2107258,Nova Colinas,3.3,5120
2013,2107308,Nova Iorque,,4599
2013,2107357,Nova Olinda do Maranhão,3.8,19963
2013,2107407,Olho d&apos;Água das Cunhãs,3.2,18934
2013,2107456,Olinda Nova do Maranhão,3.1,13911
2013,2107506,Paço do Lumiar,3.8,113378
2013,2107605,Palmeirândia,2.9,19133
2013,2107704,Paraibano,2.9,20636
2013,2107803,Parnarama,3.4,33883
2013,2107902,Passagem Franca,3.5,18216
2013,2108009,Pastos Bons,3.7,18687
2013,2108058,Paulino Neves,3.2,15234
2013,2108108,Paulo Ramos,3.1,20514
2013,2108207,Pedreiras,3.3,39337
2013,2108256,Pedro do Rosário,3.3,23874
2013,2108306,Penalva,2.9,36520
2013,2108405,Peri Mirim,3.1,13956
2013,2108454,Peritoró,2.7,22123
2013,2108504,Pindaré-Mirim,,31866
2013,2108603,Pinheiro,3.9,80365
2013,2108702,Pio XII,3.3,21512
2013,2108801,Pirapemas,3,17917
2013,2108900,Poção de Pedras,3.5,18633
2013,2109007,Porto Franco,4.3,22651
2013,2109056,Porto Rico do Maranhão,4.1,5943
2013,2109106,Presidente Dutra,3.4,46039
2013,2109205,Presidente Juscelino,3.4,12103
2013,2109239,Presidente Médici,3.4,6674
2013,2109270,Presidente Sarney,3.3,17988
2013,2109304,Presidente Vargas,3.1,11105
2013,2109403,Primeira Cruz,2.5,14588
2013,2109452,Raposa,3.4,28543
2013,2109502,Riachão,2.9,20011
2013,2109551,Ribamar Fiquene,3.6,7514
2013,2109601,Rosário,3.5,40983
2013,2109700,Sambaíba,2.9,5538
2013,2109759,Santa Filomena do Maranhão,3,7426
2013,2109809,Santa Helena,,41081
2013,2109908,Santa Inês,3.8,82106
2013,2110005,Santa Luzia,3.1,75444
2013,2110039,Santa Luzia do Paruá,3.5,23256
2013,2110104,Santa Quitéria do Maranhão,3.2,24706
2013,2110203,Santa Rita,3.2,34710
2013,2110237,Santana do Maranhão,3.5,12521
2013,2110278,Santo Amaro do Maranhão,,14828
2013,2110302,Santo Antônio dos Lopes,3.1,14289
2013,2110401,São Benedito do Rio Preto,2.7,18118
2013,2110500,São Bento,3.4,42867
2013,2110609,São Bernardo,3.4,27369
2013,2110658,São Domingos do Azeitão,3.6,7147
2013,2110708,São Domingos do Maranhão,3.5,33725
2013,2110807,São Félix de Balsas,3.1,4593
2013,2110856,São Francisco do Brejão,4.2,11027
2013,2110906,São Francisco do Maranhão,3.4,11955
